1,5,12337.3438825225,0,0,0,23,21,18.2
2,5,12097.784072774,0,0,0,22.4,21.2,18.2
3,5,11797.9529739921,0,0,0,22.2,20.7,17.5
4,5,11439.6560365865,0,0,1,21.6,19.4,15.8
5,5,11136.8390453169,1,0,0,21,19.6,14.5
6,5,10640.9980262434,1,0,0,20.2,18.7,13.8
7,5,9791.6999682663,2,0,3,19.8,18.8,13.1
8,5,9725.07998069306,1,0,1,19.8,18.8,14.3
9,5,10047.9300611496,1,0,0,23.3,21.2,18.8
10,5,10542.8970159509,1,0,2,25.8,23.6,23.6
11,5,11219.6599664849,3,0,2,28,26.6,26.6
12,5,11964.2797962085,1,0,2,30.2,28,28.4
13,5,12748.847987558,0,1,2,31.1,28.2,29.9
14,5,13438.7300777485,3,2,2,32.1,29,30.5
15,5,13979.4940971874,3,2,2,33.4,29.6,30.9
16,5,14488.6259349857,3,1,2,33,30.5,31.1
17,5,14858.6950930796,2,1,2,33.6,31.4,31.7
18,5,14878.7759845865,3,1,1,32.7,31.6,31.7
19,5,14612.413112215,2,1,1,31.7,31.2,31.7
20,5,14253.388783309,2,1,0,30.8,30.7,31.2
21,5,14955.0602145093,1,1,0,29.2,28.8,29
22,5,15977.4870893778,0,1,1,26.2,27.6,26.1
23,5,15972.0412151041,0,1,0,25.6,26.5,22.7
24,5,15723.0499966969,0,3,0,24.8,25.7,22.1
1,6,15293.8681324911,0,3,0,24.9,25.2,21.2
2,6,14626.4860361712,0,2,0,24.4,24.5,20.1
3,6,13904.679865927,0,2,0,23.9,24.4,19.2
4,6,13394.9080796624,0,1,0,22.8,23.8,19.5
5,6,13013.1429551193,0,1,0,22.8,23.2,19.3
6,6,12501.795022334,0,2,0,22.8,23.4,18.2
7,6,11843.8549176094,0,1,0,22.8,22.6,17.4
8,6,12148.0940702281,0,3,0,23.2,22.9,18.4
9,6,12896.5379882262,0,3,0,25.1,23.2,22.7
10,6,13819.4950777825,0,7,0,26.2,24,26
11,6,14795.2969659601,0,5,0,27.4,24.9,29.3
12,6,15609.0261077837,0,5,0,29.3,28.1,30.9
13,6,16661.7579526652,0,6,0,30.4,28.6,32.3
14,6,17585.8410131271,0,4,0,31.4,29.9,33.8
15,6,18224.0999192679,0,4,0,32.7,31.8,34.8
16,6,18521.4720427736,0,2,0,33.1,32.5,35.4
17,6,18354.4512210763,0,1,0,33.2,33.2,35.4
18,6,17915.1071460213,0,1,0,33.7,33.2,34.5
19,6,17224.7859327298,0,1,0,33.3,33.2,34.2
20,6,16611.6457857855,0,3,0,32.1,31.1,32.8
21,6,17373.137078804,0,7,0,28.7,29.8,30.4
22,6,18197.5541901542,0,4,0,28.4,28.6,28.2
23,6,17857.8779337527,0,4,0,27.7,27.8,27.6
24,6,17350.1272550267,0,6,0,27.5,27.2,26.7
1,7,16828.6098174809,0,7,0,27.5,26.6,25.8
2,7,16195.0299075665,0,8,0,27,25.3,24.2
3,7,15331.0590688218,0,8,2,26.3,23.2,23.2
4,7,14633.7380978493,0,8,0,25.7,21,24.2
5,7,14062.890064964,0,8,0,25.5,20.2,23.5
6,7,13444.1361671975,0,8,2,24.4,20.2,21.2
7,7,12455.4329973394,0,8,5,23.7,19.6,19.6
8,7,12228.3820120741,0,8,6,23.3,18.6,20.2
9,7,12397.6980342225,0,8,6,24.1,18.8,22.8
10,7,12878.6270662167,0,8,7,24.4,18.8,25
11,7,13385.7979880472,1,8,7,25.6,19,26
12,7,14012.287130357,2,8,7,26.5,18.8,27.4
13,7,14864.6779360299,4,8,7,27.8,18.6,28
14,7,15526.8379535967,5,8,6,29.4,18.6,30.2
15,7,15893.4212070827,6,8,6,30.2,19.2,31.2
16,7,16115.8618867632,6,8,7,31.6,19.4,31.8
17,7,16062.2362569639,6,7,8,31.6,20.4,31.2
18,7,15694.3537863728,7,7,8,31.9,21.6,31.9
19,7,15194.92491313,7,7,7,30.4,23.6,31.3
20,7,14927.7848763384,6,7,7,28.4,23.4,30
21,7,15920.7222202171,6,6,7,26.9,23,28.9
22,7,16864.2890160466,6,6,7,25,21.6,27.2
23,7,16874.826045542,6,7,7,24.7,21,26.8
24,7,16495.508034958,5,7,7,24.8,21.2,26.6
1,1,15823.69101877,5,7,7,24.8,21.2,25.1
2,1,14978.0358530274,6,7,7,24.8,20.8,23.7
3,1,14323.436033065,6,7,8,25.2,20.2,23
4,1,13811.0860297317,6,7,8,24.8,19.8,22.8
5,1,13550.6708583911,6,6,8,23.9,19,22.3
6,1,13372.4639054318,6,6,8,23.2,18.6,21.6
7,1,13103.7850442426,6,6,8,23,19.2,20.7
8,1,13660.9929775961,7,4,7,23.1,19.2,21.1
9,1,14739.614967528,7,4,7,23.7,20.8,22.8
10,1,15722.4692381688,6,4,7,24.2,23.2,25.7
