1,5,12337.3438825225,320
2,5,12097.784072774,320
3,5,11797.9529739921,270
4,5,11439.6560365865,270
5,5,11136.8390453169,270
6,5,10640.9980262434,270
7,5,9791.6999682663,320
8,5,9725.07998069306,270
9,5,10047.9300611496,270
10,5,10542.8970159509,230
11,5,11219.6599664849,230
12,5,11964.2797962085,180
13,5,12748.847987558,230
14,5,13438.7300777485,270
15,5,13979.4940971874,270
16,5,14488.6259349857,270
17,5,14858.6950930796,270
18,5,14878.7759845865,270
19,5,14612.413112215,320
20,5,14253.388783309,320
21,5,14955.0602145093,50
22,5,15977.4870893778,50
23,5,15972.0412151041,50
24,5,15723.0499966969,50
1,6,15293.8681324911,360
2,6,14626.4860361712,360
3,6,13904.679865927,360
4,6,13394.9080796624,360
5,6,13013.1429551193,360
6,6,12501.795022334,360
7,6,11843.8549176094,360
8,6,12148.0940702281,360
9,6,12896.5379882262,320
10,6,13819.4950777825,320
11,6,14795.2969659601,320
12,6,15609.0261077837,320
13,6,16661.7579526652,360
14,6,17585.8410131271,320
15,6,18224.0999192679,320
16,6,18521.4720427736,360
17,6,18354.4512210763,320
18,6,17915.1071460213,360
19,6,17224.7859327298,360
20,6,16611.6457857855,50
21,6,17373.137078804,50
22,6,18197.5541901542,50
23,6,17857.8779337527,50
24,6,17350.1272550267,50
1,7,16828.6098174809,360
2,7,16195.0299075665,360
3,7,15331.0590688218,360
4,7,14633.7380978493,320
5,7,14062.890064964,360
6,7,13444.1361671975,320
7,7,12455.4329973394,320
8,7,12228.3820120741,360
9,7,12397.6980342225,360
10,7,12878.6270662167,320
11,7,13385.7979880472,320
12,7,14012.287130357,360
13,7,14864.6779360299,50
14,7,15526.8379535967,360
15,7,15893.4212070827,360
16,7,16115.8618867632,360
17,7,16062.2362569639,50
18,7,15694.3537863728,50
19,7,15194.92491313,50
20,7,14927.7848763384,90
21,7,15920.7222202171,50
22,7,16864.2890160466,90
23,7,16874.826045542,90
24,7,16495.508034958,50
1,1,15823.69101877,50
2,1,14978.0358530274,50
3,1,14323.436033065,360
4,1,13811.0860297317,360
5,1,13550.6708583911,360
6,1,13372.4639054318,360
7,1,13103.7850442426,360
8,1,13660.9929775961,360
9,1,14739.614967528,360
10,1,15722.4692381688,360
11,1,16619.1589141611,360
12,1,17612.1841425493,50
13,1,18613.0539056109,90
14,1,19516.2419161673,50
15,1,20014.5069824022,50
16,1,20129.0269114387,50
17,1,19769.7160453748,90
18,1,18957.280849728,360
19,1,18003.3189205539,50
20,1,17225.7899698125,50
21,1,17786.9740692815,50
22,1,18674.2609633664,90
23,1,18519.3079479472,90
24,1,17962.2417804436,50
1,2,17008.5249738214,50
2,2,15967.7330320668,90
3,2,15256.623121344,140
4,2,14759.9290131261,140
5,2,14428.6070950667,90
6,2,14129.5238291083,90
7,2,13708.0771170631,140
8,2,14124.1909424843,140
9,2,15161.042962119,50
10,2,16029.7691280835,50
11,2,16754.8949388464,140
12,2,17426.5199010025,90
13,2,18300.3390705094,90
14,2,18951.0629775699,50
15,2,19075.3197943855,50
16,2,18761.2097643879,360
17,2,18235.9302578189,90
18,2,17376.7051405266,140
19,2,16568.9512349565,70
20,2,16157.8328789448,140
21,2,16959.8829622483,90
22,2,17584.500064644,90
23,2,17168.9612550666,50
24,2,16585.661237637,50
1,3,15700.9838411068,360
2,3,14758.5760612218,360
3,3,14119.2658552942,320
4,3,13659.2880118568,360
5,3,13387.3750752141,0
6,3,13238.3759593638,320
7,3,12881.2390993622,320
8,3,13163.1970086519,320
9,3,13834.3920317765,270
10,3,14423.9500013136,180
11,3,14892.5759842014,180
12,3,15322.986074551,270
13,3,15673.4891262902,270
14,3,15969.2591737383,270
15,3,16081.0198431273,270
16,3,16043.2289803037,270
17,3,15908.0179231821,270
18,3,15682.7061528808,270
19,3,15341.8777888687,270
20,3,15195.9970798241,270
21,3,16057.5090763608,270
22,3,16690.5210752329,230
23,3,16187.1889006033,230
24,3,15370.1268751847,230
1,4,14569.6440066742,230
2,4,13721.8970880085,180
3,4,13119.397042504,230
4,4,12750.7718903502,230
5,4,12568.5620408175,230
6,4,12461.6609997889,230
7,4,12196.7120016539,230
8,4,12742.3750416314,0
9,4,13728.3670852212,270
10,4,14636.4490481801,270
11,4,15303.9530461864,270
12,4,15951.9249976797,230
13,4,16641.6830778432,270
14,4,17310.7589094115,270
15,4,17761.4031508702,230
16,4,18130.9998179309,230
17,4,18330.4641707902,230
18,4,18061.6620315008,230
19,4,17459.1480561264,180
20,4,16955.6462254946,320
21,4,17758.8279923522,270
22,4,18663.8850892512,0
23,4,18300.6888799821,270
24,4,17613.1738785156,270
1,5,16714.0599464239,270
2,5,15703.8568128203,270
3,5,15051.2379936166,320
4,5,14459.3359484435,320
5,5,13968.48098932,140
6,5,13678.4451855021,90
