2007;603515.682620718
2007;616106.659883082
2007;624473.34889691
2007;643674.319183652
2008;650130.888958804
2008;653410.122177379
2008;657732.873660374
2008;627430.754168292
2009;605000.296886917
2009;590549.055560374
2009;613831.615093548
2009;626110.538110659
2010;645627.442897652
2010;674146.026726459
2010;677032.262183407
2010;685288.985959676
2011;701853.598543112
2011;710299.889754042
2011;715892.744200575
2011;715080.156384679
2012;708536.484182632
2012;683564.270948422
2012;705257.124434175
2012;716586.078270568
2013;716199.757439329
2013;720739.4592323
2013;725523.027733709
2013;719166.176805923
2014;708373.959130658
2014;702835.064972187
2014;697253.130381714
2014;700762.029368901
2015;710733.627271694
2015;728849.12518166
2015;727461.737723678
2015;718904.096375129
2016;713429.725186217
2016;701339.28769105
2016;703266.369674892
2016;707876.011838487
2017;714657.375894295
2017;721608.664462127
2017;731133.804073745
2017;738159.946621129
2018;733992.539881211
2018;703421.437765369
2018;701491.222864738
2018;690604.571406732
2019;692892.898384673
2019;696878.585290801
2019;696378.689158349
2019;686745.041518017
2020;656221.080167111
2020;563611.982048439
2020;623893.988548668
2020;654638.093837367
2021;676996.375822939
2021;679079.120312786
2021;693098.677829967
2021;710065.562170094
2022;726969.242177947
2022;740831.126787191
2022;735507.46121244
2022;722058.704726756
