0,1,2,3,tendencia,col_diff
2007.0,1.0,16.0,307.68709677419355,317.51504580587635,307.44591898470446
2007.0,2.0,14.5,317.7857142857143,317.98936212520493,317.07022017689667
2007.0,3.0,16.0,302.80645161290323,318.46367844453346,301.61664118475704
2007.0,4.0,15.5,290.5466666666667,318.9540732831613,288.86646139989267
2007.0,5.0,16.0,310.06451612903226,319.4444681217891,307.89391602363037
2007.0,6.0,15.5,323.0566666666667,319.93486296041687,320.395671722637
2007.0,7.0,16.0,319.2903225806452,320.42525779904474,316.13893279798765
2007.0,8.0,16.0,320.83870967741933,320.9236918973222,317.18888579648444
2007.0,9.0,15.5,293.03,321.41408673595004,288.88978128043726
2007.0,10.0,16.0,293.14838709677423,321.90448157457786,288.51777353858364
2007.0,11.0,15.5,299.85,322.3948764132057,294.7289916031816
2007.0,12.0,16.0,313.42903225806447,322.88527125183344,307.8176290226183
2008.0,1.0,16.0,324.0451612903226,323.3837053501109,317.9353239565989
2008.0,2.0,15.0,328.40000000000003,323.86606092908914,321.8078070872981
2008.0,3.0,16.0,302.7064516129032,324.3484165080673,295.63190312122316
2008.0,4.0,15.5,300.79,324.83881134669514,293.22505666969215
2008.0,5.0,16.0,308.19032258064516,325.32920618532296,300.1349844117095
2008.0,6.0,15.5,335.0733333333334,325.8196010239508,326.5276003257698
2008.0,7.0,16.0,320.93870967741935,326.3099958625786,311.902581831228
2008.0,8.0,16.0,316.6,326.8084299608561,307.0654380555312
2008.0,9.0,15.5,311.82666666666665,327.29882479948384,301.80170988357
2008.0,10.0,16.0,297.10322580645163,327.78921963811166,286.5878741847272
2008.0,11.0,15.5,325.6666666666667,328.27961447673954,314.6609202063144
2008.0,12.0,16.0,317.85483870967744,328.77000931536736,306.35869741069735
2009.0,1.0,16.0,319.241935483871,329.2684434136448,307.24736008661347
2009.0,2.0,14.5,321.89285714285717,329.74275973297335,309.423965426271
2009.0,3.0,16.0,315.00967741935483,330.21707605230193,302.0664693834402
2009.0,4.0,15.5,293.76666666666665,330.7074708909297,280.3330637921242
2009.0,5.0,16.0,297.56129032258065,331.1978657295575,283.63729260941034
2009.0,6.0,15.5,331.3833333333333,331.6882605681854,316.9689407815352
2009.0,7.0,16.0,334.01612903225805,332.17865540681316,319.11134164183215
2009.0,8.0,16.0,308.658064516129,332.67708950509063,293.25484302742564
2009.0,9.0,15.5,306.5433333333333,333.16748434371846,290.64971700600216
2009.0,10.0,16.0,297.60322580645163,333.6578791823463,281.21921464049257
2009.0,11.0,15.5,316.87666666666667,334.1482740209741,300.00226066207983
2009.0,12.0,16.0,319.64838709677423,334.6386688596019,302.2835862535595
2010.0,1.0,16.0,344.241935483871,335.13710295787934,326.37870054237885
2010.0,2.0,14.5,341.9535714285715,335.6114192772079,323.6160201677508
2010.0,3.0,16.0,336.6193548387097,336.0857355965365,317.80748725856046
2010.0,4.0,15.5,309.2866666666667,336.5761304351643,289.98440424788964
2010.0,5.0,16.0,314.741935483871,337.06652527379214,294.9492782264661
2010.0,6.0,15.5,341.77333333333337,337.55692011241996,321.4902812373006
2010.0,7.0,16.0,354.0193548387097,338.0473149510477,333.2459079040492
2010.0,8.0,16.0,342.0774193548387,338.5457490493252,320.80553832190077
2010.0,9.0,15.5,318.87333333333333,339.036143887953,297.1110574617676
2010.0,10.0,16.0,304.7258064516129,339.52653872658084,282.4731357414193
2010.0,11.0,15.5,323.07666666666665,340.0169335652087,300.33360111784526
2010.0,12.0,16.0,357.1290322580645,340.50732840383654,333.89557187061524
2011.0,1.0,16.0,361.3451612903226,341.005762502114,337.61326680459587
2011.0,2.0,14.5,357.88214285714287,341.48007882144253,333.67593205208766
2011.0,3.0,16.0,350.1548387096774,341.95439514077106,325.47431158529366
2011.0,4.0,15.5,325.34000000000003,342.4447899793989,300.16907803698837
2011.0,5.0,16.0,335.7903225806452,342.9351848180267,310.12900577900575
2011.0,6.0,15.5,366.9,343.4255796566546,340.7482883597328
2011.0,7.0,16.0,368.2032258064516,343.9159744952824,341.5611193275565
2011.0,8.0,16.0,361.241935483871,344.4144085935598,334.10139490669843
2011.0,9.0,15.5,329.3833333333333,344.90480343218763,301.75239791753296
2011.0,10.0,16.0,316.90967741935486,345.39519827081546,288.7883471649267
2011.0,11.0,15.5,343.18,345.8855931094433,314.568274906944
2011.0,12.0,16.0,354.7935483870968,346.3759879480711,325.69142845541296
2012.0,1.0,16.0,378.01612903225805,346.87442204634857,348.41557500229675
2012.0,2.0,15.0,376.8758620689655,347.35677762532674,346.792952460026
2012.0,3.0,16.0,355.1161290322581,347.8391332043049,324.5508638443404
2012.0,4.0,15.5,324.4566666666667,348.32952804293274,293.40100664012124
2012.0,5.0,16.0,334.77096774193546,348.81992288156056,303.2249128767622
2012.0,6.0,15.5,370.37,349.3103177201884,338.3335502961989
2012.0,7.0,16.0,385.4935483870967,349.8007125588162,352.96670384466785
2012.0,8.0,16.0,361.7483870967742,350.2991466570936,328.7231084560678
2012.0,9.0,15.5,336.44,350.78954149572144,302.9243265206658
2012.0,10.0,16.0,335.5290322580645,351.2799363343493,301.52296394010244
2012.0,11.0,15.5,359.1,351.77033117297714,324.60353684341015
2012.0,12.0,16.0,374.73870967741937,352.26072601160496,339.7518516822017
2013.0,1.0,16.0,386.1290322580645,352.75916010988243,350.64374016456935
2013.0,2.0,14.5,377.00714285714287,353.23347642921095,341.0475344443192
2013.0,3.0,16.0,339.73870967741937,353.7077927485395,303.3047849452671
2013.0,4.0,15.5,334.83,354.1981875871673,297.9056804292199
2013.0,5.0,16.0,355.2032258064516,354.6885824257952,317.78851139704375
2013.0,6.0,15.5,371.97333333333336,355.178977264423,334.06822408529763
2013.0,7.0,16.0,386.7129032258065,355.6693721030508,348.31739913914294
2013.0,8.0,16.0,378.49032258064517,356.1678062013283,339.59638439570415
2013.0,9.0,15.5,368.83,356.65820103995605,329.4456669764312
2013.0,10.0,16.0,350.4741935483871,357.1485958785839,310.5994656861905
2013.0,11.0,15.5,360.7633333333333,357.6389907172117,320.3982106325089
2013.0,12.0,16.0,428.03225806451616,358.1293855558395,387.17674052506385
2014.0,1.0,16.0,418.1645161290323,358.627819654117,376.81056449130256
2014.0,2.0,14.5,379.92857142857144,359.1021359734455,338.10030347151314
2014.0,3.0,16.0,341.69032258064516,359.5764522927741,299.38773830425833
2014.0,4.0,15.5,346.37666666666667,360.0668471314019,303.5836875516521
2014.0,5.0,16.0,362.2064516129032,360.55724197002974,318.9230776592608
2014.0,6.0,15.5,391.9,361.04763680865756,348.1262312077297
2014.0,7.0,16.0,395.14193548387095,361.5380316472854,350.87777185297284
2014.0,8.0,16.0,366.5548387096774,362.03646574556285,321.79224098050184
2014.0,9.0,15.5,354.12333333333333,362.5268605841906,308.87034076553
2014.0,10.0,16.0,373.6,363.0172554228185,327.8566125935688
2014.0,11.0,15.5,373.56666666666666,363.5076502614463,327.3328844216076
2014.0,12.0,16.0,390.49032258064517,363.99804510007414,343.7661454969583
2015.0,1.0,16.0,408.7096774193548,364.49647919835155,361.48706623739054
2015.0,2.0,14.5,412.83214285714286,364.97079551768013,365.13521535585
2015.0,3.0,16.0,403.68387096774194,365.44511183700865,355.5126271471205
2015.0,4.0,15.5,358.3366666666667,365.9355066756365,309.67502800741744
2015.0,5.0,16.0,365.4516129032258,366.42590151426435,316.29957940534877
2015.0,6.0,15.5,405.9866666666667,366.9162963528922,356.3442383301618
2015.0,7.0,16.0,417.2645161290323,367.40669119151994,367.1316929538996
2015.0,8.0,16.0,390.6354838709678,367.9051252897974,340.0042265975576
2015.0,9.0,15.5,381.8566666666667,368.39552012842523,330.7350145546287
2015.0,10.0,16.0,373.57096774193553,368.88591496705305,321.9589207912697
2015.0,11.0,15.5,369.28333333333336,369.3763098056809,317.1808915440397
2015.0,12.0,16.0,414.83870967741933,369.8667046443087,362.2458730494979
2016.0,1.0,16.0,430.9774193548387,370.3651387425861,377.88614862863983
2016.0,2.0,15.0,435.2758620689655,370.84749432156434,381.7022357637884
2016.0,3.0,16.0,364.7903225806452,371.32984990054257,310.73434069648994
2016.0,4.0,15.5,369.6333333333333,371.82024473917033,315.08695661055026
2016.0,5.0,16.0,392.93870967741935,372.31063957779816,337.90193811600847
2016.0,6.0,15.5,421.37666666666667,372.801034416426,365.8495002666279
2016.0,7.0,16.0,411.0225806451613,373.2914292550538,355.00501940649474
2016.0,8.0,16.0,375.18387096774194,373.78986335333127,318.66787563079794
2016.0,9.0,15.5,370.7033333333333,374.28025819195915,313.69694315776155
2016.0,10.0,16.0,345.40645161290325,374.7706530305869,287.9096665987036
2016.0,11.0,15.5,363.42333333333335,375.26104786921474,305.4361534805059
2016.0,12.0,16.0,408.5451612903226,375.75144270784256,350.0675865988673
2017.0,1.0,16.0,431.81935483870967,376.24987680612,372.84334604897697
2017.0,2.0,14.5,424.24285714285713,376.72419312544855,364.79253203379585
2017.0,3.0,16.0,387.10967741935485,377.19850944477713,327.18503599096505
2017.0,4.0,15.5,351.17,377.6889042834049,290.75496373298233
2017.0,5.0,16.0,373.49032258064517,378.1792991220328,312.5848914749997
2017.0,6.0,15.5,407.39666666666665,378.6696939606606,346.0008407223933
2017.0,7.0,16.0,408.30645161290323,379.1600887992884,346.42023083000214
2017.0,8.0,16.0,384.68064516129033,379.65852289756583,322.29599028011177
2017.0,9.0,15.5,371.06333333333333,380.14891773619365,308.18828361352695
2017.0,10.0,16.0,356.916129032258,380.63931257482153,293.5506844738239
2017.0,11.0,15.5,372.5133333333333,381.1297074134493,308.65749393627124
2017.0,12.0,16.0,417.00967741935483,381.6201022520771,352.663443183665
2018.0,1.0,16.0,426.1225806451613,382.11853635035465,361.277912311194
2018.0,2.0,14.5,437.34999999999997,382.5928526696831,372.0310153467041
2018.0,3.0,16.0,390.43548387096774,383.0671689890117,324.6421828983433
2018.0,4.0,15.5,375.8933333333333,383.5575638276395,309.60963752208113
2018.0,5.0,16.0,370.48709677419356,384.04795866626733,303.7130061243135
2018.0,6.0,15.5,424.5466666666667,384.53835350489516,357.2821811781588
2018.0,7.0,16.0,434.43548387096774,385.028748343523,366.680603543832
2018.0,8.0,16.0,403.68387096774194,385.5271824418004,335.43055654232876
2018.0,9.0,15.5,350.4066666666667,386.01757728042827,281.6629574026257
2018.0,10.0,16.0,342.10967741935485,386.5079721190561,272.87557331668603
2018.0,11.0,15.5,358.58,386.9983669576839,288.8555010587034
2018.0,12.0,16.0,374.70000000000005,387.48876179631173,304.4851062200756
2019.0,1.0,16.0,403.8032258064516,387.9871958945892,333.08989792824974
2019.0,2.0,14.5,408.30357142857144,388.46151221391773,337.115927231041
2019.0,3.0,16.0,348.57096774193553,388.93582853324625,276.9090072250765
2019.0,4.0,15.5,342.34000000000003,389.4262233718741,270.18764464451317
2019.0,5.0,16.0,359.39677419354837,389.9166182105019,286.75402399943374
2019.0,6.0,15.5,379.86333333333334,390.4070130491298,306.7301883005909
2019.0,7.0,16.0,413.10967741935485,390.8974078877576,339.4861375479845
2019.0,8.0,16.0,395.8225806451613,391.39584198603507,321.70060667551354
2019.0,9.0,15.5,363.81333333333333,391.88623682466283,289.2009645250577
2019.0,10.0,16.0,358.1741935483871,392.37663166329065,283.07142990148367
2019.0,11.0,15.5,376.45,392.8670265019185,300.8568415144688
2019.0,12.0,16.0,384.78064516129035,393.3574213405463,308.69709183713127
2020.0,1.0,16.0,414.341935483871,393.85585543882377,337.7599480614345
2020.0,2.0,15.0,398.2344827586207,394.33821101780194,321.17013975720596
2020.0,3.0,16.0,384.2096774193548,394.8205665967801,306.662978838962
2020.0,4.0,15.5,303.30333333333334,395.31096143540793,225.26623991431265
2020.0,5.0,16.0,330.4483870967742,395.8013562740358,251.92089883912567
2020.0,6.0,15.5,383.27000000000004,396.2917511126636,304.2521169037237
2020.0,7.0,16.0,420.9193548387097,396.7821459512914,341.4110769038055
2020.0,8.0,16.0,369.81612903225806,397.28058004956887,289.80941699907646
2020.0,9.0,15.5,355.85,397.77097488819675,275.3528931281906
2020.0,10.0,16.0,345.4806451612903,398.2613697268245,264.49314345085304
2020.0,11.0,15.5,361.1933333333333,398.75176456545233,279.71543678426826
2020.0,12.0,16.0,391.8354838709677,399.24215940408016,309.86719248327483
2021.0,1.0,16.0,410.1967741935484,399.7405935023576,327.730048707578
2021.0,2.0,14.5,383.11785714285713,400.21490982168615,300.17681533755825
2021.0,3.0,16.0,379.0483870967742,400.6892261410147,295.63302897214675
2021.0,4.0,15.5,347.56333333333333,401.1796209796425,263.65758037007805
2021.0,5.0,16.0,374.9935483870967,401.6700158182704,290.5974005852137
2021.0,6.0,15.5,424.07,402.1604106568982,339.18345735948907
2021.0,7.0,16.0,424.7741935483871,402.650805495526,339.3972560692484
2021.0,8.0,16.0,400.26129032258063,403.1492395938035,314.3859187451645
2021.0,9.0,15.5,368.38666666666666,403.63963443243125,282.0209002506227
2021.0,10.0,16.0,358.60967741935485,404.1300292710591,271.753516164683
2021.0,11.0,15.5,376.72333333333336,404.6204241096869,289.3767772400337
2021.0,12.0,16.0,430.2838709677419,405.1108189483148,342.44692003581446
2022.0,1.0,16.0,454.18709677419355,405.6092530465922,365.8517117439886
2022.0,2.0,14.5,405.10714285714283,406.0835693659207,316.29744150760934
2022.0,3.0,16.0,374.69354838709677,406.55788568524935,285.40953071823475
2022.0,4.0,15.5,358.0,407.0482805238771,268.22558749251016
2022.0,5.0,16.0,401.9741935483871,407.53867536250493,311.70938620226946
2022.0,6.0,15.5,465.0733333333334,408.02907020113275,374.31813114858784
